  0.0000000000000E+00 -3.653814766055     0.0000000000000E+00 101001
  0.0000000000000E+00  41.39134370730     0.0000000000000E+00 011001
  0.9072326842542E-02 0.0000000000000E+00 -1.106937255689     002001
  0.1817876540346     0.0000000000000E+00 -8.607359100654     100200
 -0.5292325644141     0.0000000000000E+00  110.5093676071     010200
  0.0000000000000E+00 -10.18318448114     0.0000000000000E+00 001200
  0.0000000000000E+00-0.2902399828675E-04 0.0000000000000E+00 100110
  0.0000000000000E+00-0.1357527264300E-02 0.0000000000000E+00 010110
 -0.3174881100492E-06 0.0000000000000E+00 0.1929817191966E-03 001110
 -0.5639184599625E-09 0.0000000000000E+00-0.1973494217968E-07 100020
  0.4745693283811E-08 0.0000000000000E+00 0.4770276917562E-07 010020
  0.0000000000000E+00 0.2326865157751E-08 0.0000000000000E+00 001020
  0.0000000000000E+00  2.955836595662     0.0000000000000E+00 100101
  0.0000000000000E+00  138.2521018400     0.0000000000000E+00 010101
  0.3233334579921E-01 0.0000000000000E+00 -19.65347510623     001101
  0.1148603108741E-03 0.0000000000000E+00 0.4019657008806E-02 100011
 -0.9666129827548E-03 0.0000000000000E+00-0.9716208114453E-02 010011
  0.0000000000000E+00-0.4739412234979E-03 0.0000000000000E+00 001011
  -5.848751554852     0.0000000000000E+00 -204.6831930240     100002
   49.22047609637     0.0000000000000E+00  494.7547754924     010002
  0.0000000000000E+00  24.13335334905     0.0000000000000E+00 001002
  0.0000000000000E+00 -30.01793155159     0.0000000000000E+00 000300
 -0.1551223235629E-05 0.0000000000000E+00 0.7195564703058E-03 000210
  0.0000000000000E+00 0.1204735591170E-07 0.0000000000000E+00 000120
  0.3408442220855E-07 0.0000000000000E+00 0.3130959527717E-05 000030
  0.1579783171228     0.0000000000000E+00 -73.28043938902     000201
  0.0000000000000E+00-0.2453832890867E-02 0.0000000000000E+00 000111
  0.1560389050634E-09 0.0000000000000E+00 0.1876491675555E-07 000021
  0.0000000000000E+00  124.9505493013     0.0000000000000E+00 000102
 -0.1589140353534E-04 0.0000000000000E+00-0.1911040021169E-02 000012
  0.5394661305282     0.0000000000000E+00  64.87415429967     000003
 ------------------------------------------------------------------------------
  0.0000000000000E+00  1.000000000000     0.0000000000000E+00 000000
  0.8699554829665E-02 0.0000000000000E+00 0.3276670654816     001000
  0.1931675396762E-01 0.0000000000000E+00  1.276966384512     000100
  0.1050630856910     0.0000000000000E+00 0.7210550872414E-01 101000
 -0.2116746333226E-01 0.0000000000000E+00-0.2549261419668     011000
  0.0000000000000E+00-0.5372069402778E-01 0.0000000000000E+00 002000
  0.5538404966922     0.0000000000000E+00 0.3878574117136     100100
  -1.092026286973     0.0000000000000E+00 -1.314209889917     010100
  0.0000000000000E+00-0.4185878750920     0.0000000000000E+00 001100
  0.5604733232744E-05 0.0000000000000E+00-0.4801925584452E-04 001010
 -0.5707923296825     0.0000000000000E+00  4.890334967012     001001
  0.0000000000000E+00-0.8155081420788     0.0000000000000E+00 000200
  0.6343371507753E-04 0.0000000000000E+00 0.8808256314398E-04 000110
  -6.460160814782     0.0000000000000E+00 -8.970427195687     000101
